Unix,Date,Symbol,Open,High,Low,Close,Volume ROSE,Volume USDT,tradecount
1704672000000,2024-01-08,ROSEUSDT,0.11355,0.1254,0.106,0.12367,126218673.7,14538507.848984,124533
1704585600000,2024-01-07,ROSEUSDT,0.12019,0.12441,0.11106,0.1135,79764134.4,9456716.831415,74392
1704499200000,2024-01-06,ROSEUSDT,0.1234,0.12801,0.11275,0.12021,125121661.8,15044122.472638,131625
1704412800000,2024-01-05,ROSEUSDT,0.12847,0.12997,0.11811,0.12343,117395376.6,14359580.596507,135210
1704326400000,2024-01-04,ROSEUSDT,0.12437,0.13602,0.12155,0.12845,127804760.5,16558895.589095,153608
1704240000000,2024-01-03,ROSEUSDT,0.13468,0.1366,0.10253,0.12436,272943815.6,33848923.949773,273423
1704153600000,2024-01-02,ROSEUSDT,0.13946,0.14563,0.13396,0.13464,149953678.9,20901306.26677,194566
1704067200000,2024-01-01,ROSEUSDT,0.13735,0.14374,0.13212,0.13944,128991651.7,17591531.536067,155449
1703980800000,2023-12-31,ROSEUSDT,0.12903,0.1467,0.1287,0.1374,224844690.4,31323575.776775,279186
1703894400000,2023-12-30,ROSEUSDT,0.12807,0.13563,0.12656,0.12901,122077953.1,15888695.612601,137853
1703808000000,2023-12-29,ROSEUSDT,0.12696,0.13461,0.12297,0.12808,141521163.2,18318693.924864,176186
1703721600000,2023-12-28,ROSEUSDT,0.13205,0.13646,0.12318,0.12693,150586137.8,19464287.131309,187338
1703635200000,2023-12-27,ROSEUSDT,0.13763,0.13838,0.1275,0.13209,160833202.8,21317433.643768,194123
1703548800000,2023-12-26,ROSEUSDT,0.1336,0.14955,0.12111,0.13758,352725848.7,48601436.029988,416461
1703462400000,2023-12-25,ROSEUSDT,0.13413,0.14,0.12588,0.13362,254762124.5,33861507.227665,255349
1703376000000,2023-12-24,ROSEUSDT,0.11476,0.141,0.11261,0.13417,360639756.9,46545257.584685,399085
1703289600000,2023-12-23,ROSEUSDT,0.11988,0.12247,0.11338,0.11469,210214634.2,24623433.716137,182959
1703203200000,2023-12-22,ROSEUSDT,0.10965,0.12439,0.10851,0.11992,481279233.2,56734602.226409,439824
1703116800000,2023-12-21,ROSEUSDT,0.09298,0.11196,0.09244,0.10968,333438998.6,33879958.331651,227576
1703030400000,2023-12-20,ROSEUSDT,0.09688,0.1044,0.09171,0.09299,370123623.9,36262282.579551,211514
1702944000000,2023-12-19,ROSEUSDT,0.08928,0.0984,0.08748,0.0968,306259537.9,28814106.577894,171496
1702857600000,2023-12-18,ROSEUSDT,0.08935,0.09088,0.0801,0.08929,162340593.3,13842071.260671,91159
1702771200000,2023-12-17,ROSEUSDT,0.09055,0.09223,0.08658,0.08925,115969885.0,10383668.859812,65106
1702684800000,2023-12-16,ROSEUSDT,0.08734,0.0956,0.0855,0.09057,174665954.8,15927742.325027,107125
1702598400000,2023-12-15,ROSEUSDT,0.09331,0.09791,0.08695,0.08727,300980754.4,28037441.716382,186066
1702512000000,2023-12-14,ROSEUSDT,0.08281,0.09494,0.0815,0.09331,247986035.3,21782748.427863,146462
1702425600000,2023-12-13,ROSEUSDT,0.08145,0.08341,0.0768,0.08283,146099164.0,11677094.967559,76137
1702339200000,2023-12-12,ROSEUSDT,0.07994,0.08288,0.0772,0.0814,112306570.1,9099107.403415,58650
1702252800000,2023-12-11,ROSEUSDT,0.08508,0.0852,0.07482,0.07988,175475480.7,13967655.145903,100963
1702166400000,2023-12-10,ROSEUSDT,0.08476,0.0872,0.08292,0.0851,74699048.5,6345822.71104,49638
1702080000000,2023-12-09,ROSEUSDT,0.08533,0.0895,0.08342,0.08471,118937949.7,10305385.770929,88102
1701993600000,2023-12-08,ROSEUSDT,0.08178,0.08639,0.08118,0.08532,118213870.3,9959844.745627,74762
1701907200000,2023-12-07,ROSEUSDT,0.07969,0.0831,0.0781,0.08177,99315519.4,8030489.445527,65219
1701820800000,2023-12-06,ROSEUSDT,0.0821,0.08332,0.07807,0.07961,147044002.0,11863520.949941,80127
1701734400000,2023-12-05,ROSEUSDT,0.08326,0.08418,0.08004,0.08204,118719541.6,9719228.01386,66661
1701648000000,2023-12-04,ROSEUSDT,0.08438,0.08865,0.08076,0.0833,157443294.9,13286385.734918,92636
1701561600000,2023-12-03,ROSEUSDT,0.08638,0.08777,0.08355,0.08439,90993116.0,7756254.900736,52618
1701475200000,2023-12-02,ROSEUSDT,0.08291,0.08743,0.08189,0.08632,117560685.9,9927301.801954,65700
1701388800000,2023-12-01,ROSEUSDT,0.08737,0.08878,0.08246,0.08291,108860915.4,9281510.155328,57346
1701302400000,2023-11-30,ROSEUSDT,0.08491,0.08892,0.08427,0.08733,92330676.2,8012087.570009,58640
1701216000000,2023-11-29,ROSEUSDT,0.08502,0.0879,0.08311,0.0849,111875989.1,9554822.602644,71619
1701129600000,2023-11-28,ROSEUSDT,0.08215,0.08686,0.0796,0.08502,198384643.8,16647796.498254,132261
