Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1704067200000,2024-01-01,ETHUSDT,2281.87,2352.37,2265.24,2352.04,2.167.026.914,500.451.219.612.806,536670
1703980800000,2023-12-31,ETHUSDT,2291.68,2321.34,2258.88,2281.87,2.221.758.779,510.046.689.187.396,548848
1703894400000,2023-12-30,ETHUSDT,2299.2,2322.84,2268.0,2291.68,2.105.391.327,483.369.913.478.846,555932
1703808000000,2023-12-29,ETHUSDT,2344.15,2385.41,2255.34,2299.2,4.502.012.069,1.049.566.350.122.200,990308
1703721600000,2023-12-28,ETHUSDT,2378.35,2445.8,2335.0,2344.15,580.459.982,1.385.456.486.286.190,1241094
1703635200000,2023-12-27,ETHUSDT,2230.88,2392.44,2211.88,2378.35,5.415.373.574,12.508.737.195.506.600,978666
1703548800000,2023-12-26,ETHUSDT,2271.36,2274.99,2178.45,2230.88,4.104.131.591,9.160.978.274.984.490,701701
1703462400000,2023-12-25,ETHUSDT,2264.04,2304.8,2253.1,2271.35,2.862.771.616,6.521.586.582.583.510,613108
1703376000000,2023-12-24,ETHUSDT,2308.2,2326.19,2245.0,2264.05,307.951.076,70.542.098.878.504,711200
1703289600000,2023-12-23,ETHUSDT,2324.54,2330.65,2265.0,2308.2,2.556.269.352,586.078.143.242.079,588229
1703203200000,2023-12-22,ETHUSDT,2239.6,2343.15,2230.59,2324.54,591.357.488,13.583.229.069.580.700,1124820
1703116800000,2023-12-21,ETHUSDT,2202.17,2279.31,2182.98,2239.61,4.530.697.252,1.010.354.340.135.790,848508
1703030400000,2023-12-20,ETHUSDT,2177.9,2266.0,2156.0,2202.17,4.168.416.272,9.227.945.807.034.010,867198
1702944000000,2023-12-19,ETHUSDT,2219.44,2255.0,2135.55,2177.91,3.835.514.049,8.470.608.397.083.980,786067
1702857600000,2023-12-18,ETHUSDT,2196.53,2224.0,2116.6,2219.43,3.641.031.181,789.100.505.031.711,769310
1702771200000,2023-12-17,ETHUSDT,2228.96,2248.68,2191.5,2196.52,2.259.257.675,501.306.718.242.808,531241
1702684800000,2023-12-16,ETHUSDT,2220.51,2263.4,2210.0,2228.96,199.285.923,446.980.227.082.835,528692
1702598400000,2023-12-15,ETHUSDT,2315.32,2317.81,2200.0,2220.5,3.335.526.328,7.540.229.872.477.210,714102
