Unix,Date,Symbol,Open,High,Low,Close,Volume EGLD,Volume USDT,tradecount
1701302400000,2023-11-30,EGLDUSDT,43.51,43.88,42.7,43.47,74595.96,3227286.8625,17942
1701216000000,2023-11-29,EGLDUSDT,43.91,44.65,42.94,43.51,104235.38,4559120.7893,25740
1701129600000,2023-11-28,EGLDUSDT,43.98,44.19,42.32,43.92,109157.91,4735791.3782,25607
1701043200000,2023-11-27,EGLDUSDT,45.27,45.42,43.18,43.96,135883.56,5987006.0867,35776
1700956800000,2023-11-26,EGLDUSDT,46.7,46.7,44.07,45.21,148157.9,6720291.0089,35240
1700870400000,2023-11-25,EGLDUSDT,47.27,47.49,45.3,46.69,175885.74,8151602.2641,40330
1700784000000,2023-11-24,EGLDUSDT,44.02,47.5,43.75,47.26,372734.55,17200726.999,89131
1700697600000,2023-11-23,EGLDUSDT,43.45,44.52,43.14,44.01,134388.44,5888413.0802,26675
1700611200000,2023-11-22,EGLDUSDT,39.78,44.0,39.47,43.44,174901.09,7418095.12,34327
1700524800000,2023-11-21,EGLDUSDT,44.43,44.85,39.5,39.78,314027.05,13282807.8194,69780
1700438400000,2023-11-20,EGLDUSDT,46.33,46.56,43.72,44.44,227039.92,10312167.9066,49007
1700352000000,2023-11-19,EGLDUSDT,43.37,46.42,42.21,46.34,300772.49,13514454.3426,58522
1700265600000,2023-11-18,EGLDUSDT,45.48,45.49,41.17,43.4,225019.16,9650255.9196,37709
1700179200000,2023-11-17,EGLDUSDT,43.38,46.05,43.35,45.48,363162.58,16257408.0048,73543
1700092800000,2023-11-16,EGLDUSDT,47.06,48.98,42.16,43.36,422859.0,19181135.1115,82399
1700006400000,2023-11-15,EGLDUSDT,45.2,47.88,44.59,47.05,364213.97,16966426.3472,73294
1699920000000,2023-11-14,EGLDUSDT,43.93,46.05,42.47,45.22,480460.46,21494250.9076,94321
1699833600000,2023-11-13,EGLDUSDT,44.93,46.21,42.66,43.94,506232.7,22660001.9632,88328
1699747200000,2023-11-12,EGLDUSDT,43.81,45.09,41.34,44.93,315498.74,13692002.9786,62555
1699660800000,2023-11-11,EGLDUSDT,46.38,46.45,42.66,43.81,322041.92,14145187.3744,63902
1699574400000,2023-11-10,EGLDUSDT,41.78,47.11,40.3,46.39,713983.23,31644069.5743,147424
1699488000000,2023-11-09,EGLDUSDT,42.93,43.97,38.3,41.79,656492.62,27500197.7368,112190
1699401600000,2023-11-08,EGLDUSDT,42.85,43.15,41.34,42.93,326130.45,13726198.7329,55617
1699315200000,2023-11-07,EGLDUSDT,44.75,44.76,41.12,42.87,653509.77,27674086.7095,127239
1699228800000,2023-11-06,EGLDUSDT,48.09,48.59,43.5,44.79,745779.41,33657613.6954,182253
